iter	Passed	Remaining
0	150	75192
1	153	38116
2	155	25760
3	157	19558
4	159	15830
5	162	13367
6	164	11587
7	166	10253
8	169	9239
9	171	8406
10	173	7719
11	175	7147
12	177	6656
13	179	6238
14	181	5880
15	183	5562
16	185	5282
17	188	5034
18	190	4810
19	192	4609
20	193	4411
21	195	4252
22	197	4101
23	199	3964
24	202	3838
25	204	3720
26	206	3612
27	208	3513
28	210	3417
29	212	3329
30	214	3249
31	216	3170
32	218	3096
33	220	3028
34	223	2963
35	225	2901
36	227	2844
37	229	2789
38	231	2736
39	233	2688
40	235	2641
41	237	2594
42	240	2552
43	242	2511
44	244	2471
45	246	2434
46	248	2397
47	250	2361
48	252	2328
49	254	2294
50	257	2262
51	259	2232
52	261	2202
53	263	2173
54	265	2145
55	267	2118
56	269	2094
57	271	2069
58	273	2045
59	275	2022
60	277	1999
61	280	1981
62	282	1959
63	284	1938
64	286	1918
65	288	1898
66	290	1878
67	292	1860
68	294	1842
69	297	1824
70	299	1807
71	300	1785
72	302	1769
73	304	1753
74	306	1737
75	308	1722
76	310	1707
77	312	1693
78	315	1678
79	317	1664
80	319	1650
81	321	1637
82	323	1623
83	325	1611
84	327	1599
85	329	1587
86	331	1575
87	333	1563
88	336	1551
89	338	1540
90	340	1529
91	342	1518
92	344	1507
93	346	1496
94	348	1486
95	350	1475
96	352	1465
97	354	1454
98	357	1447
99	359	1437
100	361	1428
101	363	1418
102	365	1409
103	367	1400
104	369	1390
105	371	1381
106	373	1372
107	375	1364
108	377	1355
109	379	1347
110	381	1338
111	383	1329
112	386	1322
113	388	1313
114	390	1306
115	392	1299
116	395	1293
117	397	1286
118	399	1278
119	401	1271
120	403	1263
121	405	1256
122	407	1249
123	409	1242
124	411	1235
125	413	1228
126	415	1221
127	418	1215
128	420	1208
129	422	1202
130	424	1195
131	426	1189
132	428	1182
133	430	1176
134	432	1170
135	434	1164
136	437	1158
137	439	1152
138	441	1146
139	443	1140
140	445	1134
141	447	1128
142	449	1122
143	451	1117
144	453	1111
145	456	1105
146	458	1100
147	460	1094
148	462	1089
149	464	1083
150	466	1078
151	468	1073
152	470	1067
153	472	1062
154	475	1057
155	477	1052
156	479	1046
157	481	1041
158	483	1036
159	485	1031
160	487	1027
161	489	1022
162	492	1017
163	494	1012
164	496	1007
165	498	1002
166	500	998
167	502	993
168	504	988
169	506	984
170	509	979
171	511	975
172	513	970
173	515	965
174	517	961
175	519	956
176	521	952
177	524	948
178	526	943
179	528	939
180	530	935
181	532	931
182	534	926
183	537	922
184	539	918
185	541	913
186	543	909
187	545	905
188	547	901
189	549	897
190	552	893
191	554	888
192	556	884
193	558	881
194	560	876
195	562	873
196	564	868
197	567	865
198	569	861
199	571	857
200	573	853
201	576	850
202	578	846
203	580	842
204	583	839
205	585	835
206	587	831
207	589	828
208	591	824
209	593	820
210	596	816
211	598	812
212	600	809
213	602	805
214	604	801
215	606	797
216	608	794
217	611	790
218	613	786
219	615	783
220	617	779
221	619	775
222	621	771
223	623	768
224	625	764
225	627	761
226	629	757
227	632	754
228	634	750
229	636	747
230	638	743
231	640	739
232	642	736
233	644	733
234	646	729
235	649	726
236	651	722
237	653	719
238	655	715
239	657	712
240	659	708
241	661	705
242	664	702
243	666	698
244	668	695
245	670	692
246	672	688
247	674	685
248	676	682
249	678	678
250	681	675
251	683	672
252	685	669
253	687	665
254	689	662
255	691	659
256	694	656
257	696	653
258	698	650
259	701	647
260	703	644
261	705	640
262	707	637
263	709	634
264	711	631
265	713	627
266	715	624
267	718	621
268	720	618
269	723	615
270	725	612
271	727	609
272	729	606
273	731	603
274	733	600
275	735	597
276	737	593
277	739	590
278	741	587
279	743	584
280	746	581
281	748	578
282	750	575
283	752	572
284	754	569
285	756	566
286	758	563
287	761	560
288	763	557
289	765	554
290	767	551
291	769	548
292	771	545
293	774	542
294	776	539
295	778	536
296	780	533
297	782	530
298	784	527
299	787	524
300	789	521
301	791	518
302	793	515
303	795	512
304	797	509
305	799	507
306	801	504
307	803	501
308	806	498
309	808	495
310	810	492
311	812	489
312	814	486
313	816	483
314	818	480
315	820	477
316	823	475
317	825	472
318	827	469
319	829	466
320	831	463
321	833	460
322	835	458
323	837	455
324	840	452
325	842	449
326	844	446
327	846	443
328	848	441
329	851	438
330	853	435
331	855	432
332	857	430
333	859	427
334	861	424
335	863	421
336	866	419
337	868	416
338	870	413
339	873	410
340	875	408
341	877	405
342	879	402
343	881	399
344	883	397
345	885	394
346	887	391
347	890	388
348	892	386
349	894	383
350	896	380
351	898	377
352	901	375
353	903	372
354	905	369
355	907	367
356	909	364
357	911	361
358	913	358
359	915	356
360	917	353
361	919	350
362	921	347
363	923	345
364	926	342
365	928	339
366	930	337
367	932	334
368	934	331
369	936	329
370	939	326
371	942	324
372	945	321
373	947	319
374	949	316
375	951	313
376	953	311
377	955	308
378	958	305
379	960	303
380	962	300
381	964	298
382	966	295
383	969	292
384	971	290
385	973	287
386	975	284
387	977	282
388	979	279
389	982	276
390	984	274
391	986	271
392	988	269
393	991	266
394	993	264
395	995	261
396	997	258
397	999	256
398	1001	253
399	1003	250
400	1005	248
401	1007	245
402	1009	243
403	1012	240
404	1014	237
405	1016	235
406	1018	232
407	1020	230
408	1022	227
409	1025	225
410	1027	222
411	1029	219
412	1031	217
413	1033	214
414	1035	212
415	1038	209
416	1040	207
417	1042	204
418	1044	201
419	1046	199
420	1048	196
421	1050	194
422	1053	191
423	1055	189
424	1057	186
425	1059	184
426	1061	181
427	1063	178
428	1066	176
429	1068	173
430	1070	171
431	1072	168
432	1074	166
433	1076	163
434	1078	161
435	1080	158
436	1083	156
437	1085	153
438	1087	151
439	1089	148
440	1091	146
441	1093	143
442	1095	140
443	1097	138
444	1099	135
445	1101	133
446	1104	130
447	1106	128
448	1108	125
449	1110	123
450	1113	120
451	1115	118
452	1117	115
453	1119	113
454	1122	110
455	1124	108
456	1126	105
457	1128	103
458	1130	100
459	1132	98
460	1134	95
461	1136	93
462	1138	91
463	1140	88
464	1143	86
465	1145	83
466	1147	81
467	1149	78
468	1151	76
469	1153	73
470	1155	71
471	1157	68
472	1160	66
473	1162	63
474	1164	61
475	1166	58
476	1168	56
477	1170	53
478	1172	51
479	1174	48
480	1176	46
481	1179	44
482	1181	41
483	1183	39
484	1185	36
485	1187	34
486	1189	31
487	1191	29
488	1193	26
489	1196	24
490	1198	21
491	1200	19
492	1202	17
493	1204	14
494	1206	12
495	1209	9
496	1211	7
497	1213	4
498	1215	2
499	1217	0
